B cycling	B mem	B mem activating	B mem exhausted	B mem precursor	Basal	Basal cycling	Brush	Ciliated 1	Ciliated 2	Club	DC activated	DC folicular	DC plasmacytoid	Deuterosomal	Goblet	ILC	Inflamatory epi	Ionocyte	LC	Mac	Mac activated	Mast	Mel	Mono	Neut	NK1	NK2	Plasma IGK	Plasma IGL	Secretory	Squamous	Suprabasal	T naive	Tc effect	Tc mem	Tgd	Th mem	Treg
AP1-NB	0	0	0	0	0	1	5	0	72	61	22	0	0	0	25	207	0	29	4	0	0	0	0	0	0	0	0	0	0	0	177	5	275	0	0	0	0	0	0
AP10-NB	0	0	0	0	0	21	18	0	374	9	46	0	0	10	43	1997	1	60	44	3	0	13	1	0	7	0	3	0	0	0	688	9	795	0	0	10	0	0	0
AP11-NB	0	0	0	0	0	0	7	0	246	49	244	4	0	10	11	919	0	33	89	13	0	20	1	1	22	0	2	13	0	0	490	2	89	4	40	246	3	0	13
AP12-NB	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	63	0	23	0	0	0	0	0	0	0	0	0	0	0	0	13	8	9	0	0	0	0	0	0
AP4-NB	0	0	0	0	0	196	37	0	447	78	550	2	0	0	63	1889	1	221	46	3	0	1	0	0	9	3	0	0	0	0	734	27	1212	0	28	36	6	0	1
AP5-NB	0	0	0	0	0	19	3	0	1178	20	129	0	0	0	53	1223	0	152	30	4	0	9	1	0	0	0	1	0	0	0	1206	19	189	1	3	7	0	0	1
AP7-NB	0	0	0	0	0	91	59	1	374	87	231	0	0	0	42	286	0	4772	9	3	0	4	1	2	15	3	0	1	0	0	299	54	611	1	0	41	0	0	0
AP8-NB	0	5	0	6	6	0	3	0	392	22	66	0	0	0	28	532	0	80	10	3	0	7	3	0	1	0	0	0	0	0	531	27	91	1	1	28	0	0	0
AP9-NB	0	0	0	0	0	125	1	0	352	15	188	0	0	0	9	66	0	127	18	1	0	14	0	0	44	0	3	0	0	0	35	6	262	0	1	13	1	0	0
NP10-NB	3	46	1	131	6	17	17	0	347	109	428	8	0	6	116	1134	7	6	15	47	0	18	6	0	80	9	7	32	1	2	625	6	183	27	91	250	18	1	7
NP11-NB	0	0	0	0	0	45	1	2	17	1	10	1	0	0	1	0	0	3	1	1	0	1	1	0	6	0	1	5	0	0	9	1	13	11	0	1	2	0	1
NP12-NB	0	4	0	18	1	5	2	0	378	37	93	0	0	3	15	314	7	103	19	23	0	3	0	0	1	0	8	2	0	0	118	2	35	5	3	30	4	1	16
NP13-BB	2	16	3	30	25	10	10	2	3454	175	598	32	0	3	87	37	4	31	43	15	604	23	18	1	49	0	6	33	1	2	84	3	141	41	86	96	3	1	9
NP13-NB	718	364	1006	104	433	44	7	0	499	125	226	3	12	2	13	201	6	58	27	13	0	11	3	0	1	0	2	1	42	15	362	0	114	103	23	54	1	290	20
NP14-NB	0	0	0	0	0	351	85	0	200	17	260	14	0	1	65	158	0	22	8	2	0	8	3	1	56	1	0	0	0	0	454	0	333	0	0	0	0	0	0
NP14-TB	0	0	0	0	0	8	8	0	500	35	226	46	0	0	16	0	0	7	2	7	41	9	0	0	72	0	1	0	0	0	13	57	65	3	0	7	0	0	1
NP15-NB	0	0	0	0	0	835	151	9	266	12	154	0	0	0	47	55	0	12	34	2	0	10	1	0	33	3	0	0	0	0	472	2	278	0	0	0	0	0	0
NP16-NB	63	52	86	76	16	175	84	0	674	517	1499	1	2	10	116	631	15	95	27	21	0	6	14	0	30	4	9	28	6	3	865	5	532	93	97	589	46	43	8
